[25/04/2021 8:25:55 p. m.]  :  Create a new process and it's information is:[com] Closing the communication port
[25/04/2021 8:25:55 p. m.]  :  Create a new process and it's information is:[com] Opening the communication port: baudrate=115200
[25/04/2021 8:25:55 p. m.]  :  Create a new process and it's information is:[com] Opening the communication port number: 4
[25/04/2021 8:25:55 p. m.]  :  Create a new process and it's information is:[com] Closing the communication port
[25/04/2021 8:25:55 p. m.]  :  Create a new process and it's information is:[com] Opening the communication port: baudrate=115200
[25/04/2021 8:25:55 p. m.]  :  Create a new process and it's information is:[com] Opening the communication port number: 4
[25/04/2021 8:25:55 p. m.]  :  Create a new process and it's information is:[com] Closing the communication port
[25/04/2021 8:25:55 p. m.]  :  Create a new process and it's information is:[com] Opening the communication port: baudrate=115200
[25/04/2021 8:25:55 p. m.]  :  Create a new process and it's information is:[com] Opening the communication port number: 4
[25/04/2021 8:25:55 p. m.]  :  Create a new process and it's information is:[com] Closing the communication port
[25/04/2021 8:25:55 p. m.]  :  Create a new process and it's information is:[com] Opening the communication port: baudrate=115200
[25/04/2021 8:25:55 p. m.]  :  Create a new process and it's information is:[com] Opening the communication port number: 4
[25/04/2021 8:25:55 p. m.]  :  Create a new process and it's information is:[com] Closing the communication port
[25/04/2021 8:25:55 p. m.]  :  Create a new process and it's information is:[com] Opening the communication port: baudrate=115200
[25/04/2021 8:25:55 p. m.]  :  Create a new process and it's information is:[com] Opening the communication port number: 4
[25/04/2021 8:25:55 p. m.]  :  Create a new process and it's information is:[com] Closing the communication port
[25/04/2021 8:25:55 p. m.]  :  Create a new process and it's information is:[com] Opening the communication port: baudrate=115200
[25/04/2021 8:25:55 p. m.]  :  Create a new process and it's information is:[com] Opening the communication port number: 4
[25/04/2021 8:25:55 p. m.]  :  Create a new process and it's information is:[com] Closing the communication port
[25/04/2021 8:25:55 p. m.]  :  Create a new process and it's information is:[com] Opening the communication port: baudrate=115200
[25/04/2021 8:25:55 p. m.]  :  Create a new process and it's information is:[com] Opening the communication port number: 4
[25/04/2021 8:25:55 p. m.]  :  Create a new process and it's information is:[com] Closing the communication port
[25/04/2021 8:25:55 p. m.]  :  Create a new process and it's information is:[com] Opening the communication port: baudrate=115200
[25/04/2021 8:25:55 p. m.]  :  Create a new process and it's information is:[com] Opening the communication port number: 4
[25/04/2021 8:25:55 p. m.]  :  Create a new process and it's information is:[com] Closing the communication port
[25/04/2021 8:25:55 p. m.]  :  Create a new process and it's information is:[com] Opening the communication port: baudrate=115200
[25/04/2021 8:25:55 p. m.]  :  Create a new process and it's information is:[com] Opening the communication port number: 4
[25/04/2021 8:25:55 p. m.]  :  Create a new process and it's information is:[com] Closing the communication port
[25/04/2021 8:25:55 p. m.]  :  Create a new process and it's information is:[com] Opening the communication port: baudrate=115200
[25/04/2021 8:25:55 p. m.]  :  Create a new process and it's information is:[com] Opening the communication port number: 4
[25/04/2021 8:25:55 p. m.]  :  Create a new process and it's information is:[com] Closing the communication port
[25/04/2021 8:25:55 p. m.]  :  Create a new process and it's information is:[com] Opening the communication port: baudrate=115200
[25/04/2021 8:25:58 p. m.]  :  Create a new process and it's information is:[com] Opening the communication port number: 4
[25/04/2021 8:25:58 p. m.]  :  Create a new process and it's information is:[com] Closing the communication port
[25/04/2021 8:25:58 p. m.]  :  Create a new process and it's information is:[com] Opening the communication port: baudrate=115200
[25/04/2021 8:25:58 p. m.]  :  Create a new process and it's information is:[com] Opening the communication port number: 4
[25/04/2021 8:25:58 p. m.]  :  Create a new process and it's information is:[com] Closing the communication port
[25/04/2021 8:25:58 p. m.]  :  Create a new process and it's information is:[com] Opening the communication port: baudrate=115200
[25/04/2021 8:25:58 p. m.]  :  Create a new process and it's information is:[com] Opening the communication port number: 4
[25/04/2021 8:25:58 p. m.]  :  Create a new process and it's information is:[com] Closing the communication port
[25/04/2021 8:25:58 p. m.]  :  Create a new process and it's information is:[com] Opening the communication port: baudrate=115200
[25/04/2021 8:25:58 p. m.]  :  Create a new process and it's information is:[com] Opening the communication port number: 4
[25/04/2021 8:25:58 p. m.]  :  Create a new process and it's information is:[com] Closing the communication port
[25/04/2021 8:25:58 p. m.]  :  Create a new process and it's information is:[com] Opening the communication port: baudrate=115200
[25/04/2021 8:25:58 p. m.]  :  Create a new process and it's information is:[com] Opening the communication port number: 4
[25/04/2021 8:25:58 p. m.]  :  Create a new process and it's information is:[com] Closing the communication port
[25/04/2021 8:25:58 p. m.]  :  Create a new process and it's information is:[com] Opening the communication port: baudrate=115200
[25/04/2021 8:25:58 p. m.]  :  Create a new process and it's information is:[com] Opening the communication port number: 4
[25/04/2021 8:25:58 p. m.]  :  Create a new process and it's information is:[com] Closing the communication port
[25/04/2021 8:25:58 p. m.]  :  Create a new process and it's information is:[com] Opening the communication port: baudrate=115200
[25/04/2021 8:25:58 p. m.]  :  Create a new process and it's information is:[com] Opening the communication port number: 4
[25/04/2021 8:25:58 p. m.]  :  Create a new process and it's information is:[com] Closing the communication port
[25/04/2021 8:25:58 p. m.]  :  Create a new process and it's information is:[com] Opening the communication port: baudrate=115200
[25/04/2021 8:25:58 p. m.]  :  Create a new process and it's information is:[com] Opening the communication port number: 4
[25/04/2021 8:25:58 p. m.]  :  Create a new process and it's information is:[com] Closing the communication port
[25/04/2021 8:25:58 p. m.]  :  Create a new process and it's information is:[com] Opening the communication port: baudrate=115200
[25/04/2021 8:25:58 p. m.]  :  Create a new process and it's information is:[com] Opening the communication port number: 4
[25/04/2021 8:25:58 p. m.]  :  Create a new process and it's information is:[com] Closing the communication port
[25/04/2021 8:25:58 p. m.]  :  Create a new process and it's information is:[com] Opening the communication port: baudrate=115200
[25/04/2021 8:25:58 p. m.]  :  Create a new process and it's information is:[com] Opening the communication port number: 4
[25/04/2021 8:25:58 p. m.]  :  Create a new process and it's information is:[com] Closing the communication port
[25/04/2021 8:25:58 p. m.]  :  Create a new process and it's information is:[com] Opening the communication port: baudrate=115200
[25/04/2021 8:25:58 p. m.]  :  Create a new process and it's information is:[com] Opening the communication port number: 4
[25/04/2021 8:25:58 p. m.]  :  Create a new process and it's information is:[com] Closing the communication port
[25/04/2021 8:25:58 p. m.]  :  Create a new process and it's information is:[com] Opening the communication port: baudrate=115200
[25/04/2021 8:25:58 p. m.]  :  Create a new process and it's information is:[com] Opening the communication port number: 4
[25/04/2021 8:25:58 p. m.]  :  Create a new process and it's information is:[com] Closing the communication port
[25/04/2021 8:25:58 p. m.]  :  Create a new process and it's information is:[com] Opening the communication port: baudrate=115200
[25/04/2021 8:25:58 p. m.]  :  Create a new process and it's information is:[com] Opening the communication port number: 4
[25/04/2021 8:25:58 p. m.]  :  Create a new process and it's information is:[com] Closing the communication port
[25/04/2021 8:25:58 p. m.]  :  Create a new process and it's information is:[com] Opening the communication port: baudrate=115200
[25/04/2021 8:25:58 p. m.]  :  Create a new process and it's information is:[com] Opening the communication port number: 4
[25/04/2021 8:25:58 p. m.]  :  Create a new process and it's information is:[com] Closing the communication port
[25/04/2021 8:25:58 p. m.]  :  Create a new process and it's information is:[com] Opening the communication port: baudrate=115200
[25/04/2021 8:25:58 p. m.]  :  Create a new process and it's information is:[com] Opening the communication port number: 4
[25/04/2021 8:25:58 p. m.]  :  Create a new process and it's information is:[com] Closing the communication port
[25/04/2021 8:25:58 p. m.]  :  Create a new process and it's information is:[com] Opening the communication port: baudrate=115200
[25/04/2021 8:25:58 p. m.]  :  Create a new process and it's information is:[com] Opening the communication port number: 4
[25/04/2021 8:25:58 p. m.]  :  Create a new process and it's information is:[com] Closing the communication port
[25/04/2021 8:25:58 p. m.]  :  Create a new process and it's information is:[com] Opening the communication port: baudrate=115200
[25/04/2021 8:25:58 p. m.]  :  Create a new process and it's information is:[com] Opening the communication port number: 4
[25/04/2021 8:25:58 p. m.]  :  Create a new process and it's information is:[com] Closing the communication port
[25/04/2021 8:25:58 p. m.]  :  Create a new process and it's information is:[com] Opening the communication port: baudrate=115200
[25/04/2021 8:25:58 p. m.]  :  Create a new process and it's information is:[com] Opening the communication port number: 4
[25/04/2021 8:25:58 p. m.]  :  Create a new process and it's information is:[com] Closing the communication port
[25/04/2021 8:25:58 p. m.]  :  Create a new process and it's information is:[com] Opening the communication port: baudrate=115200
[25/04/2021 8:25:58 p. m.]  :  Create a new process and it's information is:[com] Opening the communication port number: 4
[25/04/2021 8:25:58 p. m.]  :  Create a new process and it's information is:[com] Closing the communication port
[25/04/2021 8:25:58 p. m.]  :  Create a new process and it's information is:[com] Opening the communication port: baudrate=115200
[25/04/2021 8:25:58 p. m.]  :  Create a new process and it's information is:[com] Opening the communication port number: 4
[25/04/2021 8:25:58 p. m.]  :  Create a new process and it's information is:[com] Closing the communication port
[25/04/2021 8:25:58 p. m.]  :  Create a new process and it's information is:[com] Opening the communication port: baudrate=115200
[25/04/2021 8:25:58 p. m.]  :  Create a new process and it's information is:[com] Opening the communication port number: 4
[25/04/2021 8:25:58 p. m.]  :  Create a new process and it's information is:[com] Closing the communication port
